Categoría: Todas las categorías

Semana,Galletas Fontaneda: (España),Galletas Cuétara: (España),Galletas Artiach: (España)
2022-10-16,48,17,19
2022-10-23,52,0,0
2022-10-30,54,15,0
2022-11-06,33,17,0
2022-11-13,34,41,0
2022-11-20,35,37,7
2022-11-27,40,38,10
2022-12-04,10,14,0
2022-12-11,60,0,0
2022-12-18,52,27,20
2022-12-25,57,16,10
2023-01-01,42,18,0
2023-01-08,49,23,0
2023-01-15,33,16,8
2023-01-22,100,14,26
2023-01-29,63,33,9
2023-02-05,68,46,14
2023-02-12,61,36,0
2023-02-19,68,28,17
2023-02-26,40,19,0
2023-03-05,81,28,15
2023-03-12,13,28,0
2023-03-19,48,21,17
2023-03-26,58,22,14
2023-04-02,29,19,0
2023-04-09,36,14,0
2023-04-16,59,9,9
2023-04-23,18,23,11
2023-04-30,35,31,12
2023-05-07,46,36,0
2023-05-14,44,26,8
2023-05-21,44,21,20
2023-05-28,31,13,6
2023-06-04,45,31,0
2023-06-11,52,24,9
2023-06-18,52,42,0
2023-06-25,45,16,0
2023-07-02,39,22,0
2023-07-09,23,0,17
2023-07-16,46,21,21
2023-07-23,46,0,24
2023-07-30,44,30,35
2023-08-06,82,10,16
2023-08-13,45,0,31
2023-08-20,61,41,0
2023-08-27,55,25,8
2023-09-03,72,30,7
2023-09-10,62,0,0
2023-09-17,36,0,0
2023-09-24,48,21,0
2023-10-01,49,0,0
