Categoría: Todas las categorías

Semana,leche pascual: (España),central lechera asturiana: (España),lacturale: (España)
2022-10-16,42,100,8
2022-10-23,25,90,0
2022-10-30,56,82,9
2022-11-06,55,65,14
2022-11-13,39,52,10
2022-11-20,28,54,0
2022-11-27,38,47,10
2022-12-04,29,44,7
2022-12-11,28,41,15
2022-12-18,52,56,4
2022-12-25,54,38,10
2023-01-01,29,45,0
2023-01-08,42,55,0
2023-01-15,49,49,4
2023-01-22,53,51,0
2023-01-29,47,75,22
2023-02-05,47,76,11
2023-02-12,51,51,16
2023-02-19,51,36,0
2023-02-26,42,43,20
2023-03-05,45,37,9
2023-03-12,43,50,16
2023-03-19,48,38,14
2023-03-26,35,54,17
2023-04-02,36,41,0
2023-04-09,41,46,16
2023-04-16,52,33,16
2023-04-23,40,44,15
2023-04-30,27,26,11
2023-05-07,32,39,15
2023-05-14,33,24,7
2023-05-21,28,23,14
2023-05-28,26,25,0
2023-06-04,38,28,0
2023-06-11,28,9,0
2023-06-18,32,18,13
2023-06-25,39,26,6
2023-07-02,37,39,8
2023-07-09,51,35,9
2023-07-16,27,37,6
2023-07-23,23,33,10
2023-07-30,25,17,20
2023-08-06,33,32,5
2023-08-13,39,25,5
2023-08-20,26,19,4
2023-08-27,44,27,14
2023-09-03,19,33,0
2023-09-10,41,25,23
2023-09-17,41,36,0
2023-09-24,40,39,35
2023-10-01,47,35,0
